401.389343262, 224.308334351, 218.898452759
428.604095459, 242.641571045, 237.405929565
449.485137939, 257.556304932, 252.805160522
466.667755127, 272.013366699, 267.931335449
481.104431152, 286.420104980, 283.154052734
492.928192139, 301.411346436, 299.061126709
501.958557129, 317.961730957, 316.566802979
505.692779541, 338.941741943, 338.424346924
503.808441162, 367.589691162, 367.737335205
495.947723389, 406.729644775, 407.189819336
483.569610596, 456.058441162, 456.404388428
473.470611572, 499.652221680, 499.450469971
469.197448730, 528.539123535, 527.736572266
469.136779785, 544.395202637, 543.161254883
470.354064941, 552.460998535, 550.955810547
471.415740967, 556.748535156, 555.072387695
471.962310791, 559.229248047, 557.446838379
471.999633789, 560.820068359, 558.976074219
471.487304688, 561.980590820, 560.112548828
470.449554443, 562.920043945, 561.060974121
468.739807129, 563.804138184, 561.989685059
466.174346924, 564.756713867, 563.026306152
462.409362793, 565.927551270, 564.329650879
455.983093262, 567.789794922, 566.419494629
446.788543701, 570.401794434, 569.349487305
430.353790283, 575.310424805, 574.788085938
406.967864990, 582.426208496, 582.607299805
369.453399658, 593.919738770, 595.159240723
319.942413330, 606.775634766, 609.464111328
276.985565186, 611.393127441, 615.610107422
253.356018066, 606.999267578, 612.285461426
241.894378662, 600.637817383, 606.528625488
236.241333008, 595.491821289, 601.692199707
233.204696655, 591.981201172, 598.331298828
231.139663696, 589.687561035, 596.104064941
228.844055176, 588.198669434, 594.622558594
225.410339355, 587.365478516, 593.736145020
219.865081787, 587.089294434, 593.332397461
210.691299438, 587.416992188, 593.420837402
197.749176025, 588.257507324, 593.905761719
181.897171021, 589.445922852, 594.640808105
163.931930542, 590.879394531, 595.536193848
145.735549927, 592.276794434, 596.364868164
128.206436157, 593.499816895, 597.019104004
111.378074646, 594.594787598, 597.538024902
96.133926392, 595.330444336, 597.716125488
82.477073669, 595.530334473, 597.357788086
70.324996948, 595.418395996, 596.710876465
59.737411499, 595.038269043, 595.830261230
50.626586914, 594.430419922, 594.763000488
42.705898285, 593.657531738, 593.562805176
35.826892853, 592.752502441, 592.262573242
29.750959396, 591.749206543, 590.884887695
24.448194504, 590.669006348, 589.458190918
19.825073242, 589.543579102, 588.013244629
15.792695045, 588.397888184, 586.573547363
12.274153709, 587.249145508, 585.153930664
9.233842850, 586.121093750, 583.780395508
6.610614777, 585.023864746, 582.460449219
4.350248337, 583.956848145, 581.189941406
2.404373407, 582.907226562, 579.950866699
0.728921890, 581.845092773, 578.706909180
-0.713563800, 580.717590332, 577.394653320
-1.951225877, 579.439331055, 575.914794922
-3.002563000, 577.882385254, 574.119384766
-3.876554728, 575.858154297, 571.790771484
-4.570201874, 573.087829590, 568.607971191
-5.063860416, 569.164672852, 564.102783203
-5.310922146, 563.502014160, 557.600524902
-5.222506523, 555.300109863, 548.183654785
-4.597341537, 543.341186523, 534.455383301
-2.505623579, 526.371276855, 515.008728027
0.896851957, 504.481231689, 489.999938965
5.192478180, 479.992919922, 462.223724365
8.783367157, 455.974670410, 435.379364014
9.659593582, 433.733154297, 411.125427246
6.919272423, 413.384216309, 389.677490234
2.770078182, 392.381622314, 368.396728516
4.093557835, 359.775085449, 336.424316406
17.618709564, 301.572998047, 280.146942139
31.059604645, 236.008209229, 217.309082031
31.797086716, 186.716842651, 170.682266235
24.792045593, 150.230087280, 136.871017456
16.242794037, 120.198379517, 109.644622803
8.652121544, 95.118354797, 87.189758301
2.870566368, 74.489074707, 68.750862122
-0.452888072, 57.560031891, 53.552162170
