140.0003984,95,65,65
140.002425,95,60,65
140.0044796,95,60,60
140.0065701,95,60,60
140.0086336,90,60,60
140.0106921,90,60,60
140.0127428,90,60,60
140.0148184,90,60,55
140.0168779,90,55,55
140.0189552,90,55,55
140.0210199,90,55,55
140.0231166,90,55,55
140.0252542,90,55,55
140.0273087,90,55,55
140.0293584,90,50,50
140.0314147,90,50,50
140.0334785,90,50,50
140.0355489,90,50,50
140.0376284,90,50,50
140.0396852,90,50,50
140.0417457,90,50,50
140.0438712,90,45,45
140.0459218,90,45,45
140.0479784,90,45,45
140.0500371,85,45,45
140.0521085,85,45,45
140.0542362,85,45,40
140.0563025,85,40,40
140.0583673,85,40,40
140.0604398,85,40,40
140.0624883,85,40,40
140.064605,85,40,40
140.0666685,85,40,40
140.068717,85,40,40
140.0707827,85,40,40
140.0728433,85,40,40
140.0749238,85,40,40
140.0769875,85,40,40
140.0798869,85,40,40
140.0820694,85,40,35
140.0842149,80,35,35
140.0862947,80,35,35
140.0883563,75,30,30
140.0904377,75,30,30
140.0925031,75,30,30
140.0946229,70,25,25
140.0966744,70,25,25
140.0987279,70,20,20
140.1008005,70,15,15
140.1028571,70,10,10
140.1049736,70,10,5
140.1070373,70,5,5
140.1090937,70,5,0
140.1111562,70,5,5
140.1131947,70,0,0
140.1153145,70,0,0
140.117383,70,0,0
140.1194575,70,0,0
140.1215281,70,0,0
140.1236489,70,0,0
140.1258202,70,0,0
140.1278698,70,0,0
140.1299224,70,0,0
140.131995,70,0,0
140.1341283,70,0,0
140.1362102,70,0,0
140.1382656,70,0,0
140.1403351,70,0,0
140.1423898,70,0,0
140.1444483,70,0,0
140.146487,65,0,0
140.1485336,70,0,0
140.1506071,70,0,0
140.1526749,65,5,5
140.1548083,65,5,10
140.1568708,65,15,15
140.1589425,65,20,20
140.161011,65,25,25
140.1630814,65,25,30
140.1652043,65,35,35
140.1672707,65,40,40
140.1693332,65,40,40
140.1713569,65,40,40
140.1741774,65,45,45
140.176285,65,45,50
140.1783445,65,50,50
140.180402,65,55,55
140.1824718,65,55,55
140.184612,65,60,60
140.1866777,65,65,65
140.1887493,65,65,70
140.1908259,65,70,70
140.1928945,60,75,75
140.194973,65,80,80
140.1970146,65,80,80
140.1990771,60,85,85
140.2011378,60,85,90
140.2032022,60,90,90
140.2053468,60,95,100
140.2074165,60,100,105
140.2094929,60,105,105
140.2115545,60,110,110
140.2136023,65,110,115
140.2157416,65,115,120
140.2178125,65,120,120
140.219882,65,125,125
140.2219515,65,125,125
140.224128,65,125,125
