s, V0, V1, V2
0.006092787,45,0,0
0.011632681,45,0,0
0.016065359,45,0,0
0.020533323,35,0,0
0.025089025,35,0,0
0.029570818,35,0,0
0.034023762,35,0,0
0.038558483,35,0,0
0.043036222,30,0,0
0.047511101,30,0,0
0.05197072,30,0,0
0.056477785,30,0,0
0.060959578,30,0,0
0.065483332,30,0,0
0.069921017,30,0,0
0.074480772,30,0,0
0.078862667,30,0,0
0.083187342,30,0,0
0.087594271,30,0,0
0.092018127,30,0,0
0.09645009,30,0,0
0.100899696,30,0,0
0.105457544,30,0,0
0.10990119,30,0,0
0.114415169,30,0,0
0.11886692,30,0,0
0.123306751,30,0,0
0.127812624,30,0,0
0.132232428,30,0,0
0.136772394,30,0,0
0.141221046,30,0,0
0.14573884,30,0,0
0.150143623,30,0,0
0.154673338,30,0,0
0.159153461,30,0,0
0.163618088,35,5,10
0.168083906,35,20,20
0.172588825,35,25,30
0.177075386,35,30,30
0.181514263,35,35,35
0.185986996,40,35,35
0.193426847,40,45,35
0.198079824,40,50,50
0.202567339,40,60,60
0.207032204,40,65,70
0.211439133,40,75,70
0.215920925,40,75,75
0.220419884,100,115,130
0.225197554,335,155,180
0.229700327,500,230,240
0.234256029,510,270,265
0.238768816,500,265,260
0.243269682,480,275,280
0.247758627,480,320,340
0.252238274,480,415,430
0.256827116,475,555,520
0.261322021,465,565,520
0.265844822,445,555,555
0.270347595,440,565,565
0.274885416,425,570,570
0.279377222,400,575,575
0.283860922,350,590,590
0.288384676,275,595,595
0.292928696,205,600,600
0.29753232,180,605,605
0.302040339,160,605,605
0.306650162,130,610,610
0.311810732,105,610,610
0.316397429,70,610,610
0.320904493,45,610,610
0.325423241,20,605,605
0.329897881,10,605,605
0.334445715,0,600,600
0.338963747,0,600,600
0.34346652,0,595,595
0.348034382,0,590,590
0.35253334,0,585,585
0.357076883,0,575,575
0.361568689,0,570,560
0.366051674,0,550,535
0.370545387,0,515,495
0.385345697,0,475,415
0.387416601,0,415,415
0.389683485,0,415,415
0.392017365,0,415,410
0.405924797,0,330,320
0.408017635,0,310,285
0.410284758,0,275,260
0.412609577,0,240,230
0.425947189,0,80,75
0.428034067,0,70,70
0.430300951,0,60,55
0.432576656,0,50,50
0.447261095,0,25,25
0.449801922,5,20,25
0.460693598,0,20,15
0.46596837,5,15,15
0.468025208,10,15,15
0.470208883,10,15,15
0.4725492,15,15,15
0.474895954,15,15,15
0.482686758,15,15,10
0.484835625,15,10,5
0.486936331,15,5,5
0.489022493,15,5,5
0.491115332,15,5,0
0.493270159,15,0,0
0.495400906,15,0,0
0.497479916,15,0,0
0.499552011,15,0,0
0.501652718,15,0,0
0.503740549,15,0,0
0.505848646,15,0,0
0.507939577,15,0,0
0.510017395,15,0,0
0.512104511,15,0,0
0.514242172,20,0,0
0.516317129,20,0,0
0.518399954,20,0,0
0.520482063,25,0,0
0.522568941,25,0,0
0.525767565,25,0,0
0.527863741,25,0,0
0.529950619,25,0,0
0.532012463,25,0,0
0.534092426,25,0,0
0.536284447,25,0,0
0.538371325,25,0,0
0.540453196,30,0,0
0.542547941,30,0,0
0.5446558,30,0,0
0.546736956,30,0,0
0.548801661,25,5,5
0.550886631,30,5,5
0.552978754,25,5,5
0.555147409,30,5,5
0.557245493,30,5,5
0.559333324,30,5,5
0.561427116,30,5,5
0.563505173,30,5,5
0.565637112,30,5,5
0.567710876,30,5,5
0.569818974,30,5,5
0.571920872,30,5,5
0.574010849,30,5,5
0.576184511,30,5,5
0.57826972,25,5,5
0.580340385,30,5,5
0.582419395,25,5,5
0.584571362,30,5,5
0.586650133,30,5,5
0.588699102,30,10,10
0.590751886,30,10,10
0.592809916,30,10,10
0.594923735,30,10,15
0.596976757,30,15,15
0.5990026,30,15,15
0.601044655,30,20,20
0.603342533,30,20,20
0.605457306,30,20,20
0.607560396,35,20,20
0.609649181,35,20,20
0.611745358,40,20,20
0.613818169,40,20,20
0.615895033,45,20,20
0.617979765,45,25,20
0.620072603,45,25,20
0.62216568,50,25,25
0.624330759,55,25,25
0.626440525,60,25,25
0.628524542,65,25,25
0.630597353,65,25,25
0.63267231,65,25,25
0.634797096,65,25,25
0.636888027,70,25,25
0.638977051,70,25,25
0.641069889,70,25,25
0.643159866,70,25,25
0.645272732,70,25,25
0.647348642,70,25,25
0.6494205,70,25,25
0.65150857,65,25,25
0.653602362,65,20,20
0.65571332,65,20,20
0.657800198,65,20,20
0.659887075,65,20,20
0.661973953,65,15,15
0.66405201,65,15,15
0.666206837,60,15,15
0.668305635,60,15,15
0.670400858,60,10,10
0.67249465,60,10,10
0.67464757,55,5,5
0.676739216,55,5,5
0.678822279,55,5,0
0.680897236,50,0,0
0.68295598,50,0,0
0.68511796,50,0,0
0.687201023,50,0,0
0.689281702,45,0,0
0.691370726,45,0,0
0.693467617,45,0,0
0.695655584,45,0,0
0.697731495,45,0,0
0.700488329,40,0,0
0.702600241,45,0,0
0.704715252,40,0,0
0.706760168,45,0,0
0.708802938,40,0,0
0.710841179,40,0,0
0.712888718,40,0,0
0.715029716,40,0,0
0.717101812,40,0,0
0.719183683,40,0,0
0.721274614,40,0,0
0.723366261,40,0,0
0.725519419,40,0,0
0.727601051,40,0,0
0.729682207,40,0,0
0.73174119,40,0,0
0.733813047,40,0,0
0.735913992,40,0,0
0.73799181,40,0,0
0.740064859,40,0,0
0.742148638,40,0,0
0.744303703,40,0,0
0.746401548,40,0,0
0.748456478,40,0,0
0.750518322,40,0,0
0.75261116,40,0,0
0.754715204,40,0,0
0.756803989,40,0,0
0.758877993,40,0,0
0.760957003,35,0,0
0.763046741,35,0,0
0.765176535,35,0,0
0.767250776,35,0,0
0.769334555,35,0,0
0.771414518,35,0,0
0.773492098,35,0,0
0.77564311,35,0,0
0.77772522,35,0,0
0.779799938,35,0,0
0.781857014,35,0,0
0.783920765,35,0,0
0.786064863,35,0,0
0.788146734,35,0,0
0.791154623,35,0,0
0.793349266,35,0,0
0.795540571,35,0,0
0.797629118,35,0,0
0.799694061,35,0,0
0.801797152,30,0,0
0.803885937,30,0,0
0.805976152,30,0,0
0.808077812,30,0,0
0.810153723,30,0,0
0.812244654,30,0,0
0.814388514,30,0,0
0.816463709,35,0,0
0.818539381,35,0,0
0.820612431,35,0,0
0.822698116,35,0,0
0.8247931,35,0,0
0.826862097,35,0,0
0.828933954,35,5,5
0.830998659,35,10,10
0.833053589,40,15,15
0.835694551,40,20,20
0.83780241,45,20,25
0.839898586,45,25,25
0.842009306,45,30,30
0.844101429,50,30,30
0.846242189,50,35,35
0.848275185,50,35,35
0.850309134,50,40,40
0.852362871,50,40,40
0.85470891,50,45,45
0.85682869,50,45,45
0.858918667,50,50,50
0.861005545,50,55,55
0.86310029,50,55,55
0.865177393,50,60,60
0.867244244,50,60,60
0.869331121,50,65,60
0.871430159,50,70,65
0.873523951,50,70,65
0.87567997,50,75,65
0.877771854,50,75,70
0.879858732,50,75,75
