s, V0, V1, V2
160.0007782,55,0,0
160.0031011,55,0,0
160.005156,55,0,0
160.0072081,55,0,0
160.0092542,50,0,0
160.0113721,50,0,0
160.013514,45,0,0
160.0155437,45,0,0
160.0185325,45,5,5
160.0212326,40,15,15
160.0233765,40,20,20
160.0254095,40,25,25
160.0274315,35,35,35
160.0294433,35,40,40
160.0316191,35,45,45
160.034234,40,55,50
160.0369349,40,60,60
160.0389991,45,70,65
160.0410578,50,75,70
160.0430779,50,80,75
160.0456128,50,85,80
160.0476747,50,85,85
160.0497236,55,90,90
160.0518353,55,95,85
160.0538445,55,95,90
160.0558474,55,95,95
160.0578594,55,100,95
160.059885,55,105,100
160.061959,55,105,105
160.0639832,55,110,100
160.0660019,55,110,110
160.0680208,55,115,110
160.0700297,55,115,115
160.0720627,55,120,115
160.0741124,55,120,115
160.0761585,55,125,120
160.0781786,60,125,120
160.0802004,60,125,120
160.0825412,60,125,125
160.0846083,60,130,125
160.0866661,65,125,125
160.0887182,65,125,125
160.0907719,70,125,125
160.0928609,70,130,120
160.0948758,75,125,120
160.0972996,75,125,120
160.0998137,75,125,120
160.1019876,80,120,115
160.1040246,80,155,160
160.1060486,140,175,170
160.1080813,265,190,190
160.1100974,425,215,220
160.1122694,485,245,255
160.1150301,505,290,295
160.11711,510,315,315
160.119668,510,315,310
160.1218009,505,305,295
160.1242177,510,305,275
160.1263075,510,320,320
160.1288497,505,380,380
160.1316755,500,455,480
160.1337223,500,505,510
160.1362584,505,525,530
160.1383312,500,550,535
160.1403921,495,545,540
160.142463,485,545,545
160.1452081,480,560,550
160.1472809,470,565,550
160.1493487,470,555,555
160.1521127,470,560,560
160.1541526,465,565,565
160.1561704,465,565,565
160.1581964,460,570,570
160.1602225,450,575,575
160.1623874,445,575,575
160.1651003,430,580,580
160.167717,395,585,585
160.1697941,360,585,585
160.1718688,320,590,585
160.1747909,295,585,585
160.1775568,270,590,590
160.1796377,255,590,595
160.1817737,245,590,595
160.1838164,235,595,595
160.1858385,225,595,595
160.1878624,215,595,595
160.1898844,200,595,595
160.1919332,185,595,600
160.1940053,170,595,600
160.196701,155,600,600
160.1987789,140,600,600
160.2008431,125,600,600
160.2028999,115,605,610
160.2049189,100,605,600
160.2069695,90,605,605
160.2094486,80,600,600
160.2129304,70,600,600
160.2150314,40,600,600
160.2171044,30,600,600
160.2191613,25,600,600
160.221241,20,600,600
160.2233551,10,600,595
160.2253802,0,595,595
160.2274029,0,585,590
160.2294328,0,590,590
160.231612,0,590,590
160.2336905,0,590,590
160.2357538,0,585,585
160.2378476,0,585,585
160.2399125,0,580,580
160.2419846,0,580,575
160.2440081,0,575,570
160.2460282,0,570,570
160.248055,0,565,560
160.250071,0,555,550
160.252214,0,545,540
160.2542799,0,535,530
160.2563379,0,520,515
160.2585638,0,510,505
160.2606208,0,500,490
160.2631376,0,480,470
160.2651734,0,460,450
160.2672224,0,445,435
160.275234,0,435,435
160.2796319,0,410,405
160.2843847,0,385,370
160.2914565,0,315,305
160.2961423,0,275,260
160.30251,0,210,155
160.3048172,0,130,125
160.3070138,0,110,105
160.309768,0,90,90
160.3125079,0,80,75
160.3157995,0,65,60
160.3185525,0,45,45
160.3217814,0,35,40
160.3243804,0,35,35
160.32762,5,35,35
160.3303862,5,35,35
160.3334641,10,30,30
160.3367858,15,30,30
160.3393629,15,25,25
160.3428407,15,25,25
160.3450716,15,25,25
160.3485215,20,20,20
160.3511913,25,20,20
160.3544362,30,20,20
160.3576581,30,15,15
160.362613,30,15,15
160.3657937,30,10,10
160.3690207,30,10,5
160.3785355,30,5,5
160.3805752,20,0,0
160.3826354,20,0,0
160.3847241,25,0,0
160.3869171,25,0,0
160.3898158,25,0,0
160.3919089,25,0,0
160.3939726,30,0,0
160.3960345,30,5,5
160.3980956,35,5,5
160.4001465,35,5,5
160.4022663,35,5,5
160.4043183,40,10,10
160.4063733,45,10,10
160.4084232,50,15,15
160.4104722,55,15,15
160.412555,60,15,15
160.4146121,60,20,20
160.4166698,60,20,20
160.4187217,60,25,25
160.4207656,60,25,25
160.4228835,60,25,25
